stock_id,group_id
1,1
2,2
4,1
5,3
6,1
7,4
8,2
9,1
10,1
11,3
12,2
14,4
16,1
17,4
19,2
20,1
21,3
23,2
25,1
26,3
27,3
28,1
29,3
30,2
31,4
32,1
34,4
35,1
36,1
37,3
38,1
39,4
40,4
42,1
45,2
46,4
48,1
49,3
50,1
55,1
56,4
58,4
59,3
60,4
61,2
62,3
63,4
65,3
66,4
68,4
69,2
70,4
78,2
88,2
89,2
90,4
96,2
99,3
100,2
150,4
151,2
153,4
155,3
156,2
157,1
158,4
159,2
166,1
301,2
333,2
338,3
400,4
401,1
402,3
403,4
404,4
407,1
408,4
409,2
410,4
411,4
413,4
415,1
416,2
417,3
419,2
420,2
421,2
422,3
423,3
425,2
426,2
428,3
429,2
430,1
488,2
498,4
501,1
502,1
503,1
504,3
505,3
506,4
507,4
509,1
510,1
513,4
514,2
516,4
517,2
518,3
519,4
520,2
521,2
523,1
524,2
525,3
526,2
528,4
529,3
530,2
531,4
532,4
533,4
534,2
536,1
537,2
538,2
539,1
540,1
541,3
543,2
544,2
545,3
546,1
547,3
548,3
550,4
551,1
552,1
553,4
554,1
555,1
557,1
558,2
559,4
560,3
561,2
563,2
564,4
565,3
566,3
567,3
568,4
570,1
571,4
572,1
573,2
576,4
581,1
582,4
584,4
585,4
586,2
587,1
589,4
590,4
591,3
592,4
593,2
595,1
596,1
597,3
598,2
599,4
600,2
601,4
603,4
605,2
606,2
607,1
608,1
609,1
610,2
611,4
612,4
613,3
615,4
616,2
617,1
619,4
620,3
622,2
623,4
625,3
626,2
627,1
628,1
629,4
630,4
631,3
632,2
633,1
635,1
636,4
637,2
638,3
639,4
650,4
651,1
652,1
655,3
656,3
657,2
659,3
661,4
662,3
663,2
665,3
666,4
667,3
668,3
669,2
671,4
672,1
673,1
676,4
677,4
678,4
679,3
680,1
681,4
682,3
683,1
685,2
686,1
687,4
688,1
690,3
691,2
692,1
695,4
697,2
698,4
700,2
701,3
702,3
703,2
705,1
707,1
708,4
709,4
710,3
711,4
712,4
713,3
715,4
716,1
717,3
718,2
719,1
720,4
721,4
722,2
723,3
725,4
726,4
727,1
728,2
729,2
731,3
732,1
733,4
735,3
736,4
737,4
738,4
739,3
750,4
751,2
752,4
753,2
755,4
756,2
757,2
758,2
759,3
760,2
761,4
762,4
766,3
767,1
768,2
776,1
777,1
778,2
779,1
780,2
782,3
783,1
785,2
786,4
788,2
789,3
790,4
791,1
792,2
793,1
795,1
796,2
797,1
798,2
799,3
800,3
801,1
802,3
803,3
806,2
807,1
809,2
810,3
811,2
812,2
813,3
815,3
816,3
818,4
819,4
820,3
821,2
822,3
823,3
825,1
826,1
828,3
829,2
830,3
831,4
833,4
835,2
836,2
837,4
838,4
839,4
848,1
850,3
851,3
852,1
856,1
858,4
859,3
860,4
861,3
862,1
863,1
868,3
869,3
875,4
876,3
877,2
878,4
880,1
881,1
882,2
883,3
885,2
886,1
887,3
888,2
889,2
890,2
892,4
893,4
895,3
897,2
898,4
899,4
900,3
901,2
902,3
903,3
905,2
906,1
908,2
909,3
910,3
911,3
912,3
913,3
915,3
917,2
918,3
919,3
920,1
921,2
922,1
923,4
925,2
926,2
927,1
928,3
929,4
930,4
931,4
932,4
933,4
935,3
936,3
937,1
938,4
948,1
949,3
950,4
951,4
952,4
953,2
955,1
957,3
958,3
959,3
960,3
961,4
962,4
963,1
965,4
966,3
967,1
968,1
969,3
970,3
971,2
972,3
973,1
975,3
976,2
977,2
978,2
980,4
981,3
982,3
983,3
985,1
987,3
988,2
989,1
990,1
993,1
996,2
997,4
998,1
999,2
1696,3
1872,4
1896,2
1914,1
1965,2
1979,3
2001,3
2002,2
2003,4
2004,1
2005,2
2006,1
2007,4
2008,4
2009,4
2010,3
2011,3
2012,4
2013,4
2014,3
2015,1
2016,3
2017,4
2019,2
2020,3
2021,4
2022,2
2023,2
2024,3
2025,4
2026,1
2027,2
2028,3
2029,2
2030,4
2031,1
2032,2
2033,1
2034,1
2035,4
2036,2
2037,2
2038,1
2039,2
2040,2
2041,1
2042,4
2043,4
2044,4
2045,2
2046,2
2047,1
2048,1
2049,3
2050,2
2051,3
2052,4
2053,3
2054,2
2055,1
2056,2
2057,1
2058,3
2059,2
2060,2
2061,1
2062,1
2063,1
2064,1
2065,4
2066,1
2067,4
2068,4
2069,4
2071,2
2072,2
2073,1
2074,3
2075,3
2076,2
2077,1
2078,4
2079,3
2080,1
2081,1
2082,4
2083,1
2084,1
2085,2
2086,2
