stock_id,group_id
600000,1
600004,2
600006,3
600007,3
600008,2
600009,2
600010,3
600011,4
600012,1
600015,2
600016,5
600017,4
600018,6
600019,4
600020,6
600021,4
600022,5
600023,5
600025,1
600026,4
600027,6
600028,3
600029,1
600030,6
600031,2
600033,6
600035,5
600036,6
600037,4
600038,1
600039,6
600048,5
600050,4
600051,5
600052,3
600053,4
600054,4
600055,6
600056,1
600057,3
600058,3
600059,6
600060,5
600061,1
600062,6
600063,6
600064,1
600066,2
600067,4
600068,3
600069,1
600070,5
600071,1
600072,6
600073,3
600074,4
600075,3
600076,3
600077,5
600078,6
600079,6
600080,2
600081,5
600082,5
600083,6
600084,1
600085,2
600086,5
600088,2
600089,1
600090,6
600091,4
600093,2
600094,3
600095,3
600096,4
600097,5
600098,4
600099,4
600100,2
600101,5
600103,2
600104,4
600105,4
600106,1
600107,1
600108,3
600109,1
600110,1
600111,3
600112,3
600113,2
600114,4
600115,4
600116,2
600117,2
600118,1
600119,2
600120,3
600121,2
600122,2
600123,2
600125,6
600126,1
600127,3
600128,3
600129,5
600130,4
600131,4
600132,5
600133,5
600135,4
600136,2
600137,1
600138,3
600139,1
600141,2
600143,1
600145,4
600146,1
600148,3
600149,3
600150,4
600151,4
600152,2
600153,2
600155,1
600156,3
600157,2
600158,3
600159,4
600160,3
600161,1
600162,5
600163,5
600165,4
600166,1
600167,2
600168,3
600169,5
600170,4
600171,3
600172,4
600173,4
600175,4
600176,4
600177,5
600178,4
600179,4
600180,1
600182,1
600183,6
600184,2
600185,1
600186,1
600187,2
600188,1
600189,2
600190,4
600191,2
600192,2
600193,3
600195,4
600196,5
600197,3
600198,5
600199,1
600200,2
600201,6
600202,4
600203,6
600206,6
600207,4
600208,6
600209,3
600210,4
600211,3
600212,1
600213,5
600215,6
600216,2
600217,2
600218,5
600219,3
600220,4
600221,1
600222,2
600223,4
600225,6
600226,3
600227,2
600228,1
600229,1
600230,4
600231,2
600232,4
600233,6
600234,5
600235,2
600236,4
600237,4
600238,2
600239,5
600240,6
600241,3
600242,1
600243,4
600246,2
600247,5
600248,5
600249,5
600250,6
600251,5
600252,5
600255,2
600256,5
600257,3
600258,6
600259,2
600260,2
600261,2
600262,5
600265,4
600266,2
600267,6
600268,1
600269,6
600271,3
600272,3
600273,1
600275,1
600276,5
600277,6
600278,1
600279,5
600280,5
600281,5
600282,6
600283,1
600284,3
600285,6
600287,6
600288,6
600289,6
600290,3
600291,1
600292,1
600293,4
600295,2
600297,2
600298,5
600299,1
600300,6
600301,5
600302,6
600303,6
600305,6
600306,1
600307,1
600308,2
600309,1
600310,3
600311,4
600312,3
600313,1
600315,5
600316,2
600317,4
600318,6
600319,2
600320,6
600321,5
600322,1
600323,3
600325,4
600326,6
600327,1
600328,1
600329,5
600330,5
600331,4
600332,6
600333,3
600335,4
600336,6
600337,6
600338,6
600339,2
600340,3
600343,5
600345,5
600346,1
600348,6
600350,1
600351,5
600352,5
600353,6
600354,3
600355,4
600356,6
600358,4
600359,5
600360,3
600361,1
600362,6
600363,2
600365,6
600366,3
600367,5
600368,2
600369,2
600370,6
600371,5
600372,1
600373,2
600375,6
600376,2
600377,2
600378,1
600379,5
600380,1
600381,6
600382,2
600383,6
600385,6
600386,3
600387,3
600388,4
600389,5
600390,2
600391,3
600392,5
600393,5
600395,4
600396,5
600397,5
600398,2
600399,5
600400,5
600403,1
600405,3
600406,1
600408,4
600409,2
600410,2
600415,2
600416,3
600418,5
600419,3
600420,2
600421,1
600422,5
600423,2
600425,6
600426,3
600428,2
600429,6
600433,3
600435,1
600436,5
600438,4
600439,2
600444,3
600446,5
600448,6
600449,6
600452,6
600455,5
600456,5
600458,3
600459,2
600460,1
600461,2
600462,3
600463,4
600466,3
600467,1
600468,6
600469,3
600470,3
600475,4
600476,4
600477,6
600478,3
600479,4
600480,4
600481,6
600482,3
600483,1
600485,5
600486,4
600487,4
600488,1
600489,2
600490,1
600491,3
600493,4
600495,3
600496,3
600497,4
600498,4
600499,3
600500,5
600501,5
600502,3
600503,2
600505,2
600506,3
600507,6
600508,5
600509,2
600510,6
600511,4
600512,4
600513,2
600515,4
600516,6
600517,6
600518,6
600519,5
600520,2
600521,2
600522,3
600523,6
600525,6
600526,6
600527,1
600528,2
600529,6
600530,1
600531,3
600532,5
600533,5
600535,2
600536,6
600537,5
600538,5
600539,5
600540,4
600543,6
600545,5
600546,4
600547,4
600548,6
600549,3
600550,5
600551,5
600552,6
600555,2
600556,4
600557,2
600558,4
600559,2
600560,2
600561,1
600562,3
600563,4
600565,3
600566,4
600567,6
600568,1
600569,6
600570,4
600571,1
600572,3
600573,6
600575,5
600576,1
600577,4
600578,4
600579,5
600580,6
600581,4
600582,5
600583,3
600584,6
600585,6
600586,5
600587,5
600588,5
600589,5
600590,6
600592,6
600593,6
600594,3
600595,2
600596,3
600597,2
600598,2
600599,3
600600,4
600601,4
600602,5
600603,5
600604,1
600605,4
600606,1
600608,1
600609,3
600610,3
600611,3
600612,1
600613,5
600614,3
600615,4
600616,2
600617,3
600618,2
600619,4
600620,5
600621,2
600622,6
600623,3
600624,4
600626,2
600628,3
600629,5
600630,2
600633,1
600634,3
600635,6
600636,4
600637,5
600638,5
600639,6
600640,4
600641,3
600642,5
600643,3
600644,6
600645,3
600647,6
600648,3
600649,4
600650,1
600651,3
600652,1
600653,2
600654,5
600655,3
600657,2
600658,5
600660,4
600661,3
600662,1
600663,6
600664,5
600665,1
600666,6
600667,2
600668,6
600671,2
600673,4
600674,1
600675,5
600676,4
600677,5
600678,3
600679,1
600681,3
600682,1
600683,3
600684,6
600685,2
600686,5
600687,3
600688,1
600689,2
600690,2
600691,4
600692,6
600693,4
600694,5
